analyst,row,test_id,labelled_as,actual_identity,identified_as,starch_present,sample_id,date_analyzed,comments
Analyst 21,52.0,T21-48F5,Paracetamol,Paracetamol Starch,Suspicious,Yes,35364,2018-09-08 00:00:00,Starch is present and Lane K did not show anything
Analyst 21,53.0,T21-4NO2,Paracetamol,Paracetamol Starch,Paracetamol Starch,Yes,34896,24/8/2018,
Analyst 21,54.0,T21-DLS1,Paracetamol,Vitamin C,Paracetamol,,31654,19/9/2018,
Analyst 21,55.0,T21-0G8N,Paracetamol,Vitamin C,Suspicious,,35813,24/8/2018,
Analyst 21,56.0,T21-KBG3,Paracetamol,Vitamin C,Suspicious,,34893,24/8/2018,
Analyst 21,57.0,T21-MYYM,Paracetamol,Lactose,Suspicious,,30344,20/8/2018,
Analyst 21,58.0,T21-V5FB,Paracetamol,Lactose,Suspicious,,33198,19/9/2018,
Analyst 21,59.0,T21-C0TY,Paracetamol,Cellulose,Paracetamol,,30400,23/8/2018,
Analyst 21,60.0,T21-R3ML,Paracetamol,Cellulose,Paracetamol,,31653,19/9/2018,
Analyst 21,61.0,T21-OGLY,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,33194,19/9/2018,
Analyst 21,62.0,T21-ID2Y,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,33193,19/9/2018,
Analyst 21,63.0,T21-87WD,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,31751,2018-10-08 00:00:00,
Analyst 21,64.0,T21-UW7L,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,33775,23/8/2018,
Analyst 21,65.0,T21-XAH7,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,35352,2018-10-08 00:00:00,
Analyst 21,66.0,T21-OCSH,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,30338,20/8/2018,
Analyst 21,67.0,T21-ZY9N,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,34888,20/8/2018,
Analyst 21,68.0,T21-E9KM,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,31684,2018-10-08 00:00:00,
Analyst 21,69.0,T21-PV56,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,33766,23/8/2018,
Analyst 21,70.0,T21-BSLZ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,30402,23/8/2018,
Analyst 21,71.0,T21-FAIT,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,35356,2018-10-08 00:00:00,
Analyst 21,72.0,T21-D2M4,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,33760,23/8/2018,
Analyst 21,73.0,T21-IDC5,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,35222,2018-09-08 00:00:00,
Analyst 21,74.0,T21-0TL0,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,33207,19/9/2018,
Analyst 21,75.0,T21-NZ1N,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,34898,23/8/2018,
Analyst 21,76.0,T21-2P8H,Benzyl Penicillin,Penicillin Procaine,Suspicious,,34897,23/8/2018,
Analyst 21,77.0,T21-QMF0,Benzyl Penicillin,Starch,Suspicious,Yes,35223,2018-09-08 00:00:00,Nothing in Lane F and starch in Lane J
Analyst 21,78.0,T21-1808,Benzyl Penicillin,Starch,Suspicious,,33761,23/8/2018,
Analyst 21,79.0,T21-A2IC,Benzyl Penicillin,Starch,Suspicious,,30336,20/8/2018,
Analyst 21,80.0,T21-1F85,Benzyl Penicillin,Vitamin C,Suspicious,,33196,19/9/2018,
Analyst 21,81.0,T21-4ZG3,Benzyl Penicillin,Vitamin C,Suspicious,,31685,13/8/2018,Lane F did not show anything
Analyst 21,82.0,T21-2D2N,Benzyl Penicillin,Vitamin C,Suspicious,,35359,2018-10-08 00:00:00,Lane F did not show anything
Analyst 21,83.0,T21-G67Z,Benzyl Penicillin,Vitamin C,Suspicious,,33195,19/9/2018,
Analyst 21,84.0,T21-0VZU,Benzyl Penicillin,Vitamin C,Suspicious,,31750,2018-10-08 00:00:00,Lane F did not show anything
Analyst 21,85.0,T21-AFQB,Benzyl Penicillin,Vitamin C,Suspicious,,30415,13/8/2018,Lane F did not show anything
Analyst 21,86.0,T21-I6WK,Benzyl Penicillin,Vitamin C,Suspicious,,34894,23/8/2018,
Analyst 21,87.0,T21-6FPB,Benzyl Penicillin,Lactose,Suspicious,,33206,19/9/2018,
Analyst 21,88.0,T21-KSNB,Benzyl Penicillin,Lactose,Suspicious,,33192,19/9/2018,
Analyst 21,89.0,T21-FBV6,Benzyl Penicillin,Cellulose,Suspicious,,33765,23/8/2018,
Analyst 21,90.0,T21-O1JA,Benzyl Penicillin,Cellulose,Suspicious,,31718,13/8/2018,Lane F did not show anything
Analyst 21,91.0,T21-ELBK,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,30119,18/9/2018,
Analyst 21,92.0,T21-YNDZ,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,30112,18/9/2018,
Analyst 21,93.0,T21-UFPZ,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,35354,2018-10-08 00:00:00,
Analyst 21,94.0,T21-4K0S,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,30139,18/9/2018,
Analyst 21,95.0,T21-XZ3I,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,30099,18/9/2018,
Analyst 21,96.0,T21-2D68,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,33767,24/8/2018,
Analyst 21,97.0,T21-LXWT,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,35363,2018-07-08 00:00:00,
Analyst 21,98.0,T21-RDDD,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,31745,2018-10-08 00:00:00,
Analyst 21,99.0,T21-8QRG,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,35353,2018-10-08 00:00:00,
Analyst 21,100.0,T21-L6FG,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,31712,2018-10-08 00:00:00,
Analyst 21,101.0,T21-T64U,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,30118,18/9/2018,
Analyst 21,102.0,T21-R7I3,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,30110,18/9/2018,
Analyst 21,103.0,T21-O6VB,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,30117,18/9/2018,
Analyst 21,104.0,T21-X0H2,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,30108,18/9/2018,
Analyst 21,105.0,T21-58MZ,Penicillin Procaine,Penicillin Procaine,Pencillin Procaine,,30106,18/9/2018,
Analyst 21,106.0,T21-KLFG,Penicillin Procaine,Benzyl Penicillin,Suspicious,,30113,18/9/2018,
Analyst 21,107.0,T21-7QG5,Penicillin Procaine,Benzyl Penicillin,Suspicious,,30111,18/9/2018,
Analyst 21,108.0,T21-IDES,Penicillin Procaine,Cellulose,Suspicious,,30140,18/9/2018,
Analyst 21,109.0,T21-3WTA,Penicillin Procaine,Cellulose,Suspicious,,30136,18/9/2018,
Analyst 21,110.0,T21-Y5M5,Penicillin Procaine,Cellulose,Suspicious,,30144,18/9/2018,
Analyst 21,111.0,T21-YPSC,Penicillin Procaine,Cellulose,Suspicious,,35218,2018-10-08 00:00:00,All the barcode was missing
Analyst 21,112.0,T21-8DIX,Penicillin Procaine,Cellulose,Suspicious,,30115,18/9/2018,
Analyst 21,113.0,T21-VHD3,Penicillin Procaine,Lactose,Suspicious,,30109,18/9/2018,
Analyst 21,114.0,T21-I23X,Penicillin Procaine,Lactose,Suspicious,,33764,24/8/2018,
Analyst 21,115.0,T21-JAJ1,Penicillin Procaine,Lactose,Suspicious,,30116,18/9/2018,
Analyst 21,116.0,T21-BIFE,Penicillin Procaine,Lactose,Suspicious,,30107,18/9/2018,
Analyst 21,117.0,T21-YRTK,Penicillin Procaine,Vitamin C,Suspicious,,34889,24/8/2018,
Analyst 21,118.0,T21-ALFV,Penicillin Procaine,Vitamin C,Suspicious,,35216,2018-10-08 00:00:00,All the barcode was missing
Analyst 21,119.0,T21-YXNG,Penicillin Procaine,Vitamin C,Suspicious,,35358,2018-10-08 00:00:00,All the barcode was missing
Analyst 21,120.0,T21-HK53,Penicillin Procaine,Vitamin C,Suspicious,,35217,2018-10-08 00:00:00,All the barcode was missing
Analyst 21,121.0,T21-BVU5,Quinine ,Quinine ,Quinine,,30406,23/8/2018,
Analyst 21,122.0,T21-62DY,Quinine ,Quinine ,Quinine,,30347,23/8/2018,
Analyst 21,123.0,T21-UR4G,Quinine ,Quinine ,Quinine,,30345,20/8/2018,
Analyst 21,124.0,T21-K4YA,Quinine ,Quinine ,Quinine,,30339,20/8/2018,
Analyst 21,125.0,T21-0ON8,Quinine ,Quinine ,Quinine,,30137,18/9/2018,
Analyst 21,126.0,T21-I5GD,Quinine ,Quinine ,Quinine,,34899,23/8/2018,
Analyst 21,127.0,T21-GC23,Quinine ,Quinine ,Quinine,,30341,20/8/2018,35812 on 18/9/2018 retest
Analyst 21,128.0,T21-VWFY,Quinine ,Quinine ,Quinine,,34902,23/8/2018,
Analyst 21,129.0,T21-YCTD,Quinine ,Quinine ,Quinine,,31749,2018-10-08 00:00:00,
Analyst 21,130.0,T21-QBZL,Quinine ,Quinine ,Quinine,,35365,2018-09-08 00:00:00,
Analyst 21,131.0,T21-AJLM,Quinine ,Quinine ,Quinine,,30141,18/9/2018,
Analyst 21,132.0,T21-M53Y,Quinine ,Quinine ,Quinine,,30343,20/8/2018,
Analyst 21,133.0,T21-LLX2,Quinine ,Quinine ,Quinine,,35362,2018-09-08 00:00:00,
Analyst 21,134.0,T21-VA4I,Quinine ,Quinine ,Quinine,,30142,18/9/2018,
Analyst 21,135.0,T21-0DKE,Quinine ,Quinine ,Quinine,,30138,18/9/2018,
Analyst 21,136.0,T21-QPHL,Quinine ,Quinine ,Quinine,,30340,20/8/2018,
Analyst 21,137.0,T21-AM25,Quinine ,Starch,Suspicious,Yes,30350,23/8/2018,
Analyst 21,138.0,T21-6ST6,Quinine ,Starch,Suspicious,Yes,30143,18/9/2018,
Analyst 21,139.0,T21-O15F,Quinine ,Starch,Suspicious,Yes,30404,23/8/2018,
Analyst 21,140.0,T21-JVMK,Quinine ,Starch,Suspicious,Yes,31717,13/8/2018,Starch is present
Analyst 21,141.0,T21-EGCV,Quinine ,Vitamin C,Suspicious,,34135,18/9/2018,
Analyst 21,142.0,T21-9AJA,Quinine ,Vitamin C,Suspicious,,35355,2018-10-08 00:00:00,No blue color in D
Analyst 21,143.0,T21-2Y29,Quinine ,Vitamin C,Suspicious,,35229,2018-10-08 00:00:00,No blue color in D
Analyst 21,144.0,T21-7XLU,Quinine ,Vitamin C,Suspicious,,34132,18/9/2018,
Analyst 21,145.0,T21-2O6N,Quinine ,Vitamin C,Suspicious,,31719,13/8/2018,No blue color in D
Analyst 21,146.0,T21-ZYWB,Quinine ,Vitamin C,Suspicious,,34903,23/8/2018,
Analyst 21,147.0,T21-4KXR,Quinine ,Vitamin C,Suspicious,,34133,18/9/2018,
Analyst 21,148.0,T21-0C22,Quinine ,Cellulose,Suspicious,,34134,18/9/2018,
Analyst 21,149.0,T21-5I6D,Quinine ,Cellulose,Suspicious,,31686,13/8/2018,No blue color in D
Analyst 21,150.0,T21-K3K5,Quinine ,Cellulose,Suspicious,,34131,18/9/2018,
Analyst 22,1.0,T22-QURN,Amoxicillin,Amoxicillin,Amoxicillin,,34269,2018-08-09 00:00:00,
Analyst 22,2.0,T22-K00C,Amoxicillin,Amoxicillin,Amoxicillin,,30159,27/8/2018,
Analyst 22,3.0,T22-SL6O,Amoxicillin,Amoxicillin,Amoxicillin,,30146,28/8/2018,
Analyst 22,4.0,T22-12DK,Amoxicillin,Amoxicillin,Amoxicillin,,35108,2018-09-08 00:00:00,
Analyst 22,5.0,T22-BCYJ,Amoxicillin,Amoxicillin,Amoxicillin,,30144,29/8/2018,
Analyst 22,6.0,T22-087M,Amoxicillin,Amoxicillin,Amoxicillin,,35058,2018-10-08 00:00:00,
Analyst 22,7.0,T22-9A7U,Amoxicillin,Amoxicillin,Amoxicillin,,29407,2018-11-08 00:00:00,
Analyst 22,8.0,T22-MM4W,Amoxicillin,Amoxicillin,Suspicious,,35106,2018-09-08 00:00:00,
Analyst 22,9.0,T22-0DSE,Amoxicillin,Amoxicillin,Amoxicillin,,30156,30/8/2018,
Analyst 22,10.0,T22-7EAU,Amoxicillin,Amoxicillin,Amoxicillin,,30157,27/8/2018,
Analyst 22,11.0,T22-ILEE,Amoxicillin,Amoxicillin,Amoxicillin,,30148,28/8/2018,
Analyst 22,12.0,T22-3O9X,Amoxicillin,Amoxicillin,Amoxicillin,,30145,29/8/2018,
Analyst 22,13.0,T22-Z4WZ,Amoxicillin,Amoxicillin,Amoxicillin,,32236,19/8/2018,
Analyst 22,14.0,T22-ANIB,Amoxicillin,Amoxicillin,Amoxicillin,,35243,2018-10-08 00:00:00,
Analyst 22,15.0,T22-OKT5,Amoxicillin,Amoxicillin,Amoxicillin,,32237,19/8/2018,
Analyst 22,16.0,T22-PLJO,Amoxicillin,Starch,Suspicious,,34271,2018-08-09 00:00:00,
Analyst 22,17.0,T22-LKJS,Amoxicillin,Starch,Suspicious,,30158,30/8/2018,
Analyst 22,18.0,T22-96TP,Amoxicillin,Vitamin C,Suspicious,,34257,2018-08-09 00:00:00,
Analyst 22,19.0,T22-F0F3,Amoxicillin,Vitamin C,Suspicious,,29948,2018-01-09 00:00:00,
Analyst 22,20.0,T22-FEUX,Amoxicillin,Vitamin C,Suspicious,,29951,2018-02-09 00:00:00,
Analyst 22,21.0,T22-O51K,Amoxicillin,Vitamin C,Suspicious,,35242,2018-08-08 00:00:00,
Analyst 22,22.0,T22-V87D,Amoxicillin,Vitamin C,Suspicious,,34256,2018-08-09 00:00:00,
Analyst 22,23.0,T22-3HTW,Amoxicillin,Vitamin C,Suspicious,,34270,2018-08-09 00:00:00,
Analyst 22,24.0,T22-BNDE,Amoxicillin,Lactose,Suspicious,,30149,2018-03-09 00:00:00,
Analyst 22,25.0,T22-81EE,Amoxicillin,Lactose,Suspicious,,34268,2018-08-09 00:00:00,
Analyst 22,26.0,T22-8EIO,Amoxicillin,Lactose,Suspicious,,32235,19/8/2018,
Analyst 22,27.0,T22-YKLM,Amoxicillin,Cellulose,Suspicious,,35111,2018-08-08 00:00:00,
Analyst 22,28.0,T22-MZXB,Amoxicillin,Cellulose,Suspicious,,29949,2018-01-09 00:00:00,
Analyst 22,29.0,T22-0XJL,Amoxicillin,Cellulose,Suspicious,,29950,2018-02-09 00:00:00,
Analyst 22,30.0,T22-RHQQ,Amoxicillin,Cellulose,Suspicious,,30167,19/8/2018,
Analyst 22,31.0,T22-Y9CI,Paracetamol,Paracetamol,Paracetamol,,32980,2018-09-09 00:00:00,
Analyst 22,32.0,T22-3MGE,Paracetamol,Paracetamol,Paracetamol,,29943,2018-01-09 00:00:00,
Analyst 22,33.0,T22-B6QH,Paracetamol,Paracetamol,Paracetamol,,32991,2018-09-09 00:00:00,
Analyst 22,34.0,T22-YFQI,Paracetamol,Paracetamol,Paracetamol,,32968,2018-09-09 00:00:00,
Analyst 22,35.0,T22-3GSL,Paracetamol,Paracetamol,Paracetamol,,35226,2018-09-09 00:00:00,
Analyst 22,36.0,T22-J4KC,Paracetamol,Paracetamol,Suspicious,,32986,2018-09-09 00:00:00,
Analyst 22,37.0,T22-ZDFT,Paracetamol,Paracetamol,Paracetamol,,30001,28/8/2018,
Analyst 22,38.0,T22-RG9L,Paracetamol,Paracetamol,Paracetamol,,29940,29/8/2018,
Analyst 22,39.0,T22-CXQC,Paracetamol,Paracetamol,Paracetamol,,32987,2018-09-09 00:00:00,
Analyst 22,40.0,T22-CL0Y,Paracetamol,Paracetamol,Paracetamol,,30003,2018-01-09 00:00:00,
Analyst 22,41.0,T22-QNEX,Paracetamol,Paracetamol,Paracetamol,,30080,14/8/2018,
Analyst 22,42.0,T22-8AKY,Paracetamol,Paracetamol,Paracetamol,,30044,2018-11-08 00:00:00,
Analyst 22,43.0,T22-C2OE,Paracetamol,Paracetamol,Paracetamol,,29404,2018-11-08 00:00:00,
Analyst 22,44.0,T22-P2ZG,Paracetamol,Paracetamol,Paracetamol,,32990,2018-09-09 00:00:00,
Analyst 22,45.0,T22-FME5,Paracetamol,Paracetamol,Paracetamol,,32982,2018-09-09 00:00:00,
Analyst 22,46.0,T22-1OWE,Paracetamol,Paracetamol,Paracetamol,,35224,2018-09-09 00:00:00,
Analyst 22,47.0,T22-SFOU,Paracetamol,Vitamin C,Suspicious,,30000,2018-02-09 00:00:00,
Analyst 22,48.0,T22-1OUA,Paracetamol,Vitamin C,Suspicious,,34276,2018-09-09 00:00:00,
Analyst 22,49.0,T22-STCG,Paracetamol,Vitamin C,Suspicious,,34274,2018-09-09 00:00:00,
Analyst 22,50.0,T22-QYVU,Paracetamol,Vitamin C,Suspicious,,30005,2018-03-09 00:00:00,
Analyst 22,51.0,T22-1R3S,Paracetamol,Paracetamol Starch,Paracetamol Starch,Yes,34278,2018-09-09 00:00:00,
Analyst 22,52.0,T22-WBP1,Paracetamol,Paracetamol Starch,Paracetamol Starch,Yes,35225,2018-09-09 00:00:00,
Analyst 22,53.0,T22-Q11O,Paracetamol,Paracetamol Starch,Paracetamol Starch,Yes,30002,2018-04-09 00:00:00,
Analyst 22,54.0,T22-XBO3,Paracetamol,Lactose,Suspicious,,29942,2018-04-09 00:00:00,
Analyst 22,55.0,T22-X7H4,Paracetamol,Lactose,Suspicious,,35056,2018-10-08 00:00:00,
Analyst 22,56.0,T22-WPPO,Paracetamol,Lactose,Suspicious,,29941,2018-02-09 00:00:00,
Analyst 22,57.0,T22-8HB9,Paracetamol,Cellulose,Paracetamol,,34272,2018-09-09 00:00:00,
Analyst 22,58.0,T22-FHLY,Paracetamol,Cellulose,Paracetamol,,34275,2018-09-09 00:00:00,
Analyst 22,59.0,T22-98FR,Paracetamol,Cellulose,Suspicious,,34273,2018-09-09 00:00:00,
Analyst 22,60.0,T22-K0UH,Paracetamol,Cellulose,Suspicious,,30004,27/8/2018,
Analyst 22,61.0,T22-KOMN,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30203,28/8/2018,
Analyst 22,62.0,T22-DQ2K,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30438,2018-03-09 00:00:00,
Analyst 22,63.0,T22-CFVD,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35407,2018-10-09 00:00:00,
Analyst 22,64.0,T22-33WU,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35159,2018-10-09 00:00:00,
Analyst 22,65.0,T22-T22N9,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30437,2018-02-09 00:00:00,
Analyst 22,66.0,T22-RBNZ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30011,2018-03-09 00:00:00,
Analyst 22,67.0,T22-BY3A,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35122,2018-10-09 00:00:00,
Analyst 22,68.0,T22-V0EO,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35158,2018-10-09 00:00:00,
Analyst 22,69.0,T22-6YQY,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30435,29/8/2018,
Analyst 22,70.0,T22-QY3Y,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30204,29/8/2018,
Analyst 22,71.0,T22-IM0I,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30436,30/8/2018,
Analyst 22,72.0,T22-ZWAN,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30439,29/8/2018,
Analyst 22,73.0,T22-V8CT,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35120,2018-10-09 00:00:00,
Analyst 22,74.0,T22-QEEG,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35124,2018-10-09 00:00:00,
Analyst 22,75.0,T22-T13Q,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30050,2018-03-09 00:00:00,
Analyst 22,76.0,T22-WOY1,Benzyl Penicillin,Lactose,Suspicious,,35123,2018-10-09 00:00:00,
Analyst 22,77.0,T22-HET22,Benzyl Penicillin,Lactose,Suspicious,,30201,2018-03-09 00:00:00,
Analyst 22,78.0,T22-G271,Benzyl Penicillin,Starch,Suspicious,,35121,2018-10-09 00:00:00,
Analyst 22,79.0,T22-NV7Y,Benzyl Penicillin,Starch,Suspicious,,34279,2018-10-09 00:00:00,
Analyst 22,80.0,T22-0I6Q,Benzyl Penicillin,Starch,Suspicious,,30202,2018-04-09 00:00:00,
Analyst 22,81.0,T22-5DCR,Benzyl Penicillin,Paracetamol Starch,Suspicious,,30200,2018-04-09 00:00:00,
Analyst 22,82.0,T22-XOFO,Benzyl Penicillin,Paracetamol Starch,Suspicious,,29400,2018-10-08 00:00:00,
Analyst 22,83.0,T22-SRUV,Benzyl Penicillin,Paracetamol Starch,Suspicious,,35110,2018-09-08 00:00:00,
Analyst 22,84.0,T22-ANI4,Benzyl Penicillin,Paracetamol Starch,Suspicious,,35157,2018-10-09 00:00:00,
Analyst 22,85.0,T22-YCQ2,Benzyl Penicillin,Paracetamol Starch,Suspicious,,35406,2018-10-09 00:00:00,
Analyst 22,86.0,T22-ZVYY,Benzyl Penicillin,Vitamin C,Suspicious,,35411,2018-08-08 00:00:00,
Analyst 22,87.0,T22-FUN5,Benzyl Penicillin,Vitamin C,Suspicious,,30424,27/8/2018,
Analyst 22,88.0,T22-K5VC,Benzyl Penicillin,Vitamin C,Suspicious,,35126,2018-10-09 00:00:00,
Analyst 22,89.0,T22-HSWB,Benzyl Penicillin,Vitamin C,Suspicious,,35125,2018-10-09 00:00:00,
