"id","sample_id","sample_name","sample_actual","quantity","quantity_actual","user_name","test_id","project"
"9479","35820","Paracetamol","Paracetamol","100","100","Analyst 39","T39-WQ39","MSH Tanzania"
"9480","35899","Paracetamol","Paracetamol","100","100","Analyst 39","T39-35TR","MSH Tanzania"
"9481","35815","Benzyl Penicillin","Vitamin C","100","100","Analyst 39","T39-XEFP","MSH Tanzania"
"9482","35808","Benzyl Penicillin","Vitamin C","100","100","Analyst 39","T39-7H92","MSH Tanzania"
"9483","35892","Benzyl Penicillin","Cellulose","100","100","Analyst 39","T39-438H","MSH Tanzania"
"9484","35299","Quinine ","Cellulose","100","100","Analyst 39","T39-HF7M","MSH Tanzania"
"9485","35810","Penicillin Procaine","Starch","100","100","Analyst 39","T39-GRW1","MSH Tanzania"
"9486","35263","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-J1ET","MSH Tanzania"
"9487","33878","Amoxicillin","Vitamin C","100","100","Analyst 39","T39-LZRG","MSH Tanzania"
"9488","33879","Amoxicillin","Vitamin C","100","100","Analyst 39","T39-GJPR","MSH Tanzania"
"9489","35296","Quinine ","Vitamin C","100","100","Analyst 39","T39-HGUF","MSH Tanzania"
"9490","35260","Benzyl Penicillin","Paracetamol Starch","100","100","Analyst 39","T39-3Q42","MSH Tanzania"
"9491","35896","Paracetamol","Paracetamol Starch","100","100","Analyst 39","T39-YY3W","MSH Tanzania"
"9492","35262","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-XDF4","MSH Tanzania"
"9493","33880","Quinine ","Quinine","100","100","Analyst 39","T39-JNXN","MSH Tanzania"
"9494","35897","Paracetamol","Paracetamol","100","100","Analyst 39","T39-9AJF","MSH Tanzania"
"9495","35814","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-VHEH","MSH Tanzania"
"9496","35426","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-8VST","MSH Tanzania"
"9497","35297","Quinine ","Vitamin C","100","100","Analyst 39","T39-J2Q6","MSH Tanzania"
"9498","35893","Penicillin Procaine","Starch","100","100","Analyst 39","T39-0JKA","MSH Tanzania"
"9499","35258","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-WAV5","MSH Tanzania"
"9500","35425","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-STN1","MSH Tanzania"
"9501","35822","Paracetamol","Paracetamol","100","100","Analyst 39","T39-6KWA","MSH Tanzania"
"9502","32672","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-0GU7","MSH Tanzania"
"9503","30789","Paracetamol","Vitamin C","100","100","Analyst 39","T39-GYVR","MSH Tanzania"
"9504","30791","Quinine ","Quinine","100","100","Analyst 39","T39-M3G3","MSH Tanzania"
"9505","30784","Paracetamol","Paracetamol Starch","100","100","Analyst 39","T39-QFWF","MSH Tanzania"
"9506","32670","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-DGFA","MSH Tanzania"
"9507","32676","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-6W6D","MSH Tanzania"
"9508","32636","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-BOII","MSH Tanzania"
"9509","32619","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-X3GW","MSH Tanzania"
"9510","32620","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-PNDL","MSH Tanzania"
"9511","32695","Amoxicillin","Cellulose","100","100","Analyst 39","T39-TM90","MSH Tanzania"
"9512","30792","Quinine ","Quinine","100","100","Analyst 39","T39-LA97","MSH Tanzania"
"9513","32633","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-RU1M","MSH Tanzania"
"9514","32622","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-5F3J","MSH Tanzania"
"9515","32671","Penicillin Procaine","Vitamin C","100","100","Analyst 39","T39-AVJE","MSH Tanzania"
"9516","32677","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-6NL7","MSH Tanzania"
"9517","30780","Paracetamol","Paracetamol","100","100","Analyst 39","T39-X4Y5","MSH Tanzania"
"9518","30778","Quinine ","Cellulose","100","100","Analyst 39","T39-7FN9","MSH Tanzania"
"9519","32699","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-UUS1","MSH Tanzania"
"9520","32703","Benzyl Penicillin","Vitamin C","100","100","Analyst 39","T39-7S5S","MSH Tanzania"
"9521","32781","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-DB4X","MSH Tanzania"
"9522","30774","Quinine ","Quinine","100","100","Analyst 39","T39-81J4","MSH Tanzania"
"9523","32673","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-W1O2","MSH Tanzania"
"9524","32691","Amoxicillin","Vitamin C","100","100","Analyst 39","T39-XEML","MSH Tanzania"
"9525","30769","Penicillin Procaine","Vitamin C","100","100","Analyst 39","T39-HI72","MSH Tanzania"
"9526","30779","Paracetamol","Paracetamol","100","100","Analyst 39","T39-IEE8","MSH Tanzania"
"9527","30775","Quinine ","Quinine","100","100","Analyst 39","T39-BIAW","MSH Tanzania"
"9528","30771","Quinine ","Quinine","100","100","Analyst 39","T39-C16D","MSH Tanzania"
"9529","30785","Paracetamol","Paracetamol","100","100","Analyst 39","T39-TNO9","MSH Tanzania"
"9530","30770","Penicillin Procaine","Vitamin C","100","100","Analyst 39","T39-U18I","MSH Tanzania"
"9531","32621","Benzyl Penicillin","Starch","100","100","Analyst 39","T39-LEAL","MSH Tanzania"
"9532","32632","Penicillin Procaine","Cellulose","100","100","Analyst 39","T39-KA15","MSH Tanzania"
"9533","30772","Quinine ","Quinine","100","100","Analyst 39","T39-UJA4","MSH Tanzania"
"9534","32776","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-D5ZZ","MSH Tanzania"
"9535","30777","Quinine ","Vitamin C","100","100","Analyst 39","T39-SRQ5","MSH Tanzania"
"9536","30773","Quinine ","Paracetamol Starch","100","100","Analyst 39","T39-L31S","MSH Tanzania"
"9537","30782","Paracetamol","Starch","100","100","Analyst 39","T39-T4RM","MSH Tanzania"
"9538","30776","Quinine ","Quinine","100","100","Analyst 39","T39-T7WK","MSH Tanzania"
"9539","30793","Quinine ","Quinine","100","100","Analyst 39","T39-KBI8","MSH Tanzania"
"9540","30783","Paracetamol","Paracetamol","100","100","Analyst 39","T39-AZY3","MSH Tanzania"
"9541","30788","Paracetamol","Vitamin C","100","100","Analyst 39","T39-IB0U","MSH Tanzania"
"9542","30787","Paracetamol","Vitamin C","100","100","Analyst 39","T39-ZSAX","MSH Tanzania"
"9543","32777","Penicillin Procaine","Starch","100","100","Analyst 39","T39-KLZT","MSH Tanzania"
"9544","32780","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-EQSY","MSH Tanzania"
"9545","32666","Benzyl Penicillin","Starch","100","100","Analyst 39","T39-TR56","MSH Tanzania"
"9546","30781","Paracetamol","Lactose","100","100","Analyst 39","T39-X6RV","MSH Tanzania"
"9547","30786","Paracetamol","Paracetamol","100","100","Analyst 39","T39-93XK","MSH Tanzania"
"9548","32637","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-8AS1","MSH Tanzania"
"9549","32623","Benzyl Penicillin","Cellulose","100","100","Analyst 39","T39-FANQ","MSH Tanzania"
"9550","32667","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-CXWB","MSH Tanzania"
"9551","30790","Quinine ","Vitamin C","100","100","Analyst 39","T39-0QVQ","MSH Tanzania"
"9552","33874","Paracetamol","Paracetamol","100","100","Analyst 39","T39-TBAN","MSH Tanzania"
"9553","32561","Benzyl Penicillin","Vitamin C","100","100","Analyst 39","T39-IVAH","MSH Tanzania"
"9554","35257","Paracetamol","Cellulose","100","100","Analyst 39","T39-3CJN","MSH Tanzania"
"9555","32562","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-0DSH","MSH Tanzania"
"9556","33881","Quinine ","Lactose","100","100","Analyst 39","T39-2T3P","MSH Tanzania"
"9557","33886","Quinine ","Vitamin C","100","100","Analyst 39","T39-Z8HG","MSH Tanzania"
"9558","32574","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-ATPS","MSH Tanzania"
"9559","32560","Benzyl Penicillin","Vitamin C","100","100","Analyst 39","T39-1P6W","MSH Tanzania"
"9560","32518","Amoxicillin","Lactose","100","100","Analyst 39","T39-DQ1V","MSH Tanzania"
"9561","35326","Paracetamol","Paracetamol","100","100","Analyst 39","T39-V977","MSH Tanzania"
"9562","32563","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-NF3P","MSH Tanzania"
"9563","35327","Paracetamol","Paracetamol","100","100","Analyst 39","T39-YHBA","MSH Tanzania"
"9564","35256","Paracetamol","Lactose","100","100","Analyst 39","T39-3LU9","MSH Tanzania"
"9565","33888","Quinine ","Quinine","100","100","Analyst 39","T39-6UKX","MSH Tanzania"
"9566","32583","Amoxicillin","Lactose","100","100","Analyst 39","T39-EBJO","MSH Tanzania"
"9567","33872","Paracetamol","Paracetamol Starch","100","100","Analyst 39","T39-RWH2","MSH Tanzania"
"9568","33863","Quinine ","Cellulose","100","100","Analyst 39","T39-Q7N3","MSH Tanzania"
"9569","33860","Penicillin Procaine","Vitamin C","100","100","Analyst 39","T39-2G0W","MSH Tanzania"
"9570","32572","Benzyl Penicillin","Vitamin C","100","100","Analyst 39","T39-IQHR","MSH Tanzania"
"9571","32568","Amoxicillin","Lactose","100","100","Analyst 39","T39-ODXM","MSH Tanzania"
"9572","32567","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-8P2R","MSH Tanzania"
"9573","32516","Amoxicillin","Vitamin C","100","100","Analyst 39","T39-2TDR","MSH Tanzania"
"9574","33890","Penicillin Procaine","Starch","100","100","Analyst 39","T39-YOKW","MSH Tanzania"
"9575","29680","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-ODZR","MSH Tanzania"
"9576","32569","Amoxicillin","Lactose","100","100","Analyst 39","T39-3JPB","MSH Tanzania"
"9577","33892","Penicillin Procaine","Starch","100","100","Analyst 39","T39-UEHT","MSH Tanzania"
"9578","35325","Paracetamol","Paracetamol","100","100","Analyst 39","T39-MEVF","MSH Tanzania"
"9579","32566","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-IICU","MSH Tanzania"
"9580","29681","Amoxicillin","Vitamin C","100","100","Analyst 39","T39-PQQ7","MSH Tanzania"
"9581","33891","Penicillin Procaine","Benzyl Penicillin","100","100","Analyst 39","T39-T39V9","MSH Tanzania"
"9582","33861","Penicillin Procaine","Vitamin C","100","100","Analyst 39","T39-DIG6","MSH Tanzania"
"9583","32575","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-0WDJ","MSH Tanzania"
"9584","32519","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-O0XN","MSH Tanzania"
"9585","33889","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-IZQT","MSH Tanzania"
"9586","32573","Benzyl Penicillin","Cellulose","100","100","Analyst 39","T39-2F9I","MSH Tanzania"
"9587","33873","Paracetamol","Cellulose","100","100","Analyst 39","T39-AF3H","MSH Tanzania"
"9588","29682","Amoxicillin","Vitamin C","100","100","Analyst 39","T39-Q65T","MSH Tanzania"
"9589","32571","Amoxicillin","Paracetamol Starch","100","100","Analyst 39","T39-L4GT","MSH Tanzania"
"9590","33883","Quinine ","Quinine","100","100","Analyst 39","T39-1QK6","MSH Tanzania"
"9591","33887","Quinine ","Quinine","100","100","Analyst 39","T39-C7HT","MSH Tanzania"
"9592","33882","Quinine ","Quinine","100","100","Analyst 39","T39-2XRO","MSH Tanzania"
"9593","32565","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-G16T","MSH Tanzania"
"9594","33885","Quinine ","Lactose","100","100","Analyst 39","T39-WKRG","MSH Tanzania"
"9595","32564","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-542B","MSH Tanzania"
"9596","32517","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-YA11","MSH Tanzania"
"9597","33884","Quinine ","Quinine","100","100","Analyst 39","T39-SRZK","MSH Tanzania"
"9598","32582","Amoxicillin","Vitamin C","100","100","Analyst 39","T39-RAYG","MSH Tanzania"
"9599","35324","Paracetamol","Paracetamol","100","100","Analyst 39","T39-AWSX","MSH Tanzania"
"9600","32570","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-UQ48","MSH Tanzania"
"9601","33862","Quinine ","Vitamin C","100","100","Analyst 39","T39-6H5U","MSH Tanzania"
"9602","34388","Penicillin Procaine","Vitamin C","100","100","Analyst 39","T39T-R6EY","MSH Tanzania"
"9603","30379","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39T-85ZJ","MSH Tanzania"
"9604","35915","Paracetamol","Paracetamol","100","100","Analyst 39","T39T-C9VA","MSH Tanzania"
"9605","30377","Quinine","Starch","100","100","Analyst 39","T39T-6VF3","MSH Tanzania"
"9606","30376","Paracetamol","Lactose","100","100","Analyst 39","T39T-PGS7","MSH Tanzania"
"9607","30378","Quinine","Quinine","100","100","Analyst 39","T39T-GGEH","MSH Tanzania"
"9608","34389","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39T-0DUO","MSH Tanzania"
"9609","30381","Amoxicillin","Cellulose","100","100","Analyst 39","T39T-H9LL","MSH Tanzania"
"9610","30391","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39T-Y82B","MSH Tanzania"
"9611","30380","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39T-YT05","MSH Tanzania"
"9612","30549","Paracetamol","Paracetamol","100","100","Analyst 30","T30-073L","MSH Tanzania"
"9613","30547","Paracetamol","Paracetamol","100","100","Analyst 30","T30-NSX2","MSH Tanzania"
"9614","33960","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-3SVF","MSH Tanzania"
"9615","33972","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-GOOA","MSH Tanzania"
"9616","33976","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-ZLGV","MSH Tanzania"
"9617","33975","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-D3OB","MSH Tanzania"
"9618","31680","Amoxicillin","Vitamin C","100","100","Analyst 30","T30-7NCY","MSH Tanzania"
"9619","33965","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-PJM8","MSH Tanzania"
"9620","30553","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-G0T4","MSH Tanzania"
"9621","33987","Quinine ","Quinine","100","100","Analyst 30","T30-PLDA","MSH Tanzania"
"9622","33974","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-1NNU","MSH Tanzania"
"9623","33977","Benzyl Penicillin","Lactose","100","100","Analyst 30","T30-RL9U","MSH Tanzania"
"9624","30605","Amoxicillin","Vitamin C","100","100","Analyst 30","T30-IW66","MSH Tanzania"
"9625","33980","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-8BEP","MSH Tanzania"
"9626","30591","Benzyl Penicillin","Vitamin C","100","100","Analyst 30","T30-R42B","MSH Tanzania"
"9627","33986","Quinine ","Quinine","100","100","Analyst 30","T30-5E5N","MSH Tanzania"
"9628","33988","Quinine ","Quinine","100","100","Analyst 30","T30-INCK","MSH Tanzania"
"9629","30607","Amoxicillin","Vitamin C","100","100","Analyst 30","T30-EJG7","MSH Tanzania"
"9630","30606","Amoxicillin","Vitamin C","100","100","Analyst 30","T30-4CRX","MSH Tanzania"
"9631","30604","Paracetamol","Cellulose","100","100","Analyst 30","T30-RNVB","MSH Tanzania"
"9633","30602","Penicillin Procaine","Cellulose","100","100","Analyst 30","T30-R12R","MSH Tanzania"
"9634","33964","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-JX8X","MSH Tanzania"
"9635","30548","Paracetamol","Starch","100","100","Analyst 30","T30-Q2LL","MSH Tanzania"
"9636","30545","Paracetamol","Paracetamol","100","100","Analyst 30","T30-IL9O","MSH Tanzania"
"9637","31678","Amoxicillin","Cellulose","100","100","Analyst 30","T30-H42P","MSH Tanzania"
"9638","33982","Benzyl Penicillin","Lactose","100","100","Analyst 30","T30-I6SC","MSH Tanzania"
"9639","33985","Quinine ","Quinine","100","100","Analyst 30","T30-T6YZ","MSH Tanzania"
"9640","30554","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-9MP5","MSH Tanzania"
"9641","31667","Paracetamol","Cellulose","100","100","Analyst 30","T30-MXWZ","MSH Tanzania"
"9642","33973","Benzyl Penicillin","Lactose","100","100","Analyst 30","T30-RVAZ","MSH Tanzania"
"9644","30600","Penicillin Procaine","Vitamin C","100","100","Analyst 30","T30-YPWP","MSH Tanzania"
"9645","33966","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-6JS6","MSH Tanzania"
"9646","33961","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-GKD3","MSH Tanzania"
"9647","30550","Paracetamol","Paracetamol","100","100","Analyst 30","T30-30KL","MSH Tanzania"
"9648","33981","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-VOR1","MSH Tanzania"
"9649","30546","Paracetamol","Paracetamol","100","100","Analyst 30","T30-WWHK","MSH Tanzania"
"9650","33950","Quinine ","Quinine","100","100","Analyst 30","T30-PE7X","MSH Tanzania"
"9651","33963","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-DHQ7","MSH Tanzania"
"9652","30552","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-ZUB1","MSH Tanzania"
"9653","30544","Paracetamol","Starch","100","100","Analyst 30","T30-YQUY","MSH Tanzania"
"9654","30556","Amoxicillin","Starch","100","100","Analyst 30","T30-D6XZ","MSH Tanzania"
"9655","33978","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-U8I3","MSH Tanzania"
"9656","33951","Quinine ","Quinine","100","100","Analyst 30","T30-0PJU","MSH Tanzania"
"9657","33983","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-B615","MSH Tanzania"
"9658","33962","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-B7AP","MSH Tanzania"
"9659","33967","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-Y5LL","MSH Tanzania"
"9660","30551","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-MC9W","MSH Tanzania"
"9661","30555","Paracetamol","Paracetamol","100","100","Analyst 30","T30-TZFP","MSH Tanzania"
"9662","34915","Benzyl Penicillin","Vitamin C","100","100","Analyst 30","T30-HN91","MSH Tanzania"
"9663","34943","Quinine ","Quinine","100","100","Analyst 30","T30-JUNW","MSH Tanzania"
"9664","34937","Quinine ","Quinine","100","100","Analyst 30","T30-8WZK","MSH Tanzania"
"9665","34916","Quinine ","Lactose","100","100","Analyst 30","T30-TB2Z","MSH Tanzania"
"9666","34084","Paracetamol","Starch","100","100","Analyst 30","T30-7XH4","MSH Tanzania"
"9667","34103","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-YMR7","MSH Tanzania"
"9668","34920","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-TQBY","MSH Tanzania"
"9669","34918","Quinine ","Vitamin C","100","100","Analyst 30","T30-LUUV","MSH Tanzania"
"9670","34927","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-KE9R","MSH Tanzania"
"9671","34919","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-Z0L6","MSH Tanzania"
"9672","34921","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-F154","MSH Tanzania"
"9673","34090","Benzyl Penicillin","Vitamin C","100","100","Analyst 30","T30-IZNI","MSH Tanzania"
"9674","34427","Paracetamol","Cellulose","100","100","Analyst 30","T30-F7NW","MSH Tanzania"
"9675","34913","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-KU0N","MSH Tanzania"
"9676","34102","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-SJ37","MSH Tanzania"
"9677","34924","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-I8D3","MSH Tanzania"
"9678","34086","Paracetamol","Starch","100","100","Analyst 30","T30-6C7R","MSH Tanzania"
"9679","34083","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-2IPS","MSH Tanzania"
"9680","34941","Penicillin Procaine","Vitamin C","100","100","Analyst 30","T30-R0J6","MSH Tanzania"
"9681","34938","Quinine ","Quinine","100","100","Analyst 30","T30-VTND","MSH Tanzania"
"9682","34097","Amoxicillin","Vitamin C","100","100","Analyst 30","T30-9HVL","MSH Tanzania"
"9683","34917","Quinine ","Starch","100","100","Analyst 30","T30-QDQ2","MSH Tanzania"
"9684","34914","Benzyl Penicillin","Vitamin C","100","100","Analyst 30","T30-QVZH","MSH Tanzania"
"9685","34089","Benzyl Penicillin","Vitamin C","100","100","Analyst 30","T30-V7M2","MSH Tanzania"
"9686","34091","Benzyl Penicillin","Vitamin C","100","100","Analyst 30","T30-U53F","MSH Tanzania"
"9687","34925","Benzyl Penicillin","Vitamin C","100","100","Analyst 30","T30-1WQE","MSH Tanzania"
"9688","34088","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-EWL5","MSH Tanzania"
"9689","34087","Paracetamol","Lactose","100","100","Analyst 30","T30-0S5T","MSH Tanzania"
"9690","34922","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-O6WN","MSH Tanzania"
"9691","34940","Penicillin Procaine","Vitamin C","100","100","Analyst 30","T30-JFL1","MSH Tanzania"
"9692","34431","Paracetamol","Paracetamol","100","100","Analyst 30","T30-JITA","MSH Tanzania"
"9693","34080","Paracetamol","Paracetamol","100","100","Analyst 30","T30-56FM","MSH Tanzania"
"9694","34939","Quinine ","Quinine","100","100","Analyst 30","T30-NDDR","MSH Tanzania"
"9695","34429","Paracetamol","Paracetamol","100","100","Analyst 30","T30-P9OE","MSH Tanzania"
"9696","34082","Amoxicillin","Vitamin C","100","100","Analyst 30","T30-K7SV","MSH Tanzania"
"9697","34096","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-HKLQ","MSH Tanzania"
"9698","34926","Penicillin Procaine","Vitamin C","100","100","Analyst 30","T30-AW23","MSH Tanzania"
"9699","34430","Paracetamol","Paracetamol","100","100","Analyst 30","T30-11ZO","MSH Tanzania"
"9700","34081","Paracetamol","Paracetamol","100","100","Analyst 30","T30-RJI8","MSH Tanzania"
"9701","34428","Amoxicillin","Vitamin C","100","100","Analyst 30","T30-JKEI","MSH Tanzania"
"9702","34425","Paracetamol","Cellulose","100","100","Analyst 30","T30-D8ZR","MSH Tanzania"
"9703","34936","Quinine ","Quinine","100","100","Analyst 30","T30-VAB3","MSH Tanzania"
"9704","34923","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-0CCM","MSH Tanzania"
"9705","34085","Paracetamol","Lactose","100","100","Analyst 30","T30-VKJV","MSH Tanzania"
"9706","34912","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-I5OP","MSH Tanzania"
"9708","34100","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-HGWV","MSH Tanzania"
"9709","34099","Amoxicillin","Vitamin C","100","100","Analyst 30","T30-PBRO","MSH Tanzania"
"9710","34942","Penicillin Procaine","Cellulose","100","100","Analyst 30","T30-784A","MSH Tanzania"
"9711","34426","Paracetamol","Cellulose","100","100","Analyst 30","T30-2QHC","MSH Tanzania"
"9712","34360","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-QAMW","MSH Tanzania"
"9713","34378","Penicillin Procaine","Vitamin C","100","100","Analyst 30","T30-GK3Z","MSH Tanzania"
"9714","34369","Amoxicillin","Vitamin C","100","100","Analyst 30","T30-YQKS","MSH Tanzania"
"9715","35164","Benzyl Penicillin","Vitamin C","100","100","Analyst 30","T30-FK7V","MSH Tanzania"
"9716","34374","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-P9NS","MSH Tanzania"
"9717","35392","Quinine ","Starch","100","100","Analyst 30","T30-CTQA","MSH Tanzania"
"9718","35390","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 30","T30-4NTM","MSH Tanzania"
"9719","34383","Amoxicillin","Cellulose","100","100","Analyst 30","T30-IIPJ","MSH Tanzania"
"9720","34376","Penicillin Procaine","Vitamin C","100","100","Analyst 30","T30-K5QI","MSH Tanzania"
"9721","34372","Amoxicillin","Amoxicillin","100","100","Analyst 30","T30-0JEU","MSH Tanzania"
"9722","35160","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 30","T30-Q7WJ","MSH Tanzania"
